Category: All categories

Month,Python: (Worldwide)
2004-01,33
2004-02,34
2004-03,33
2004-04,32
2004-05,31
2004-06,31
2004-07,33
2004-08,33
2004-09,33
2004-10,32
2004-11,29
2004-12,31
2005-01,31
2005-02,32
2005-03,32
2005-04,30
2005-05,33
2005-06,32
2005-07,33
2005-08,31
2005-09,31
2005-10,36
2005-11,31
2005-12,30
2006-01,30
2006-02,30
2006-03,30
2006-04,30
2006-05,29
2006-06,28
2006-07,29
2006-08,30
2006-09,31
2006-10,31
2006-11,30
2006-12,28
2007-01,29
2007-02,29
2007-03,30
2007-04,29
2007-05,29
2007-06,29
2007-07,29
2007-08,29
2007-09,29
2007-10,30
2007-11,28
2007-12,27
2008-01,26
2008-02,28
2008-03,27
2008-04,29
2008-05,28
2008-06,28
2008-07,28
2008-08,27
2008-09,28
2008-10,29
2008-11,28
2008-12,28
2009-01,27
2009-02,29
2009-03,30
2009-04,30
2009-05,27
2009-06,28
2009-07,29
2009-08,28
2009-09,28
2009-10,29
2009-11,29
2009-12,26
2010-01,26
2010-02,28
2010-03,29
2010-04,29
2010-05,28
2010-06,28
2010-07,26
2010-08,27
2010-09,27
2010-10,28
2010-11,28
2010-12,26
2011-01,27
2011-02,28
2011-03,29
2011-04,28
2011-05,27
2011-06,28
2011-07,28
2011-08,28
2011-09,28
2011-10,29
2011-11,28
2011-12,27
2012-01,26
2012-02,29
2012-03,29
2012-04,29
2012-05,29
2012-06,28
2012-07,29
2012-08,29
2012-09,30
2012-10,31
2012-11,30
2012-12,26
2013-01,30
2013-02,33
2013-03,33
2013-04,33
2013-05,32
2013-06,31
2013-07,32
2013-08,33
2013-09,33
2013-10,36
2013-11,36
2013-12,32
2014-01,33
2014-02,36
2014-03,37
2014-04,37
2014-05,35
2014-06,33
2014-07,35
2014-08,33
2014-09,36
2014-10,39
2014-11,38
2014-12,34
2015-01,36
2015-02,40
2015-03,40
2015-04,41
2015-05,38
2015-06,41
2015-07,40
2015-08,38
2015-09,42
2015-10,45
2015-11,44
2015-12,42
2016-01,46
2016-02,53
2016-03,53
2016-04,53
2016-05,53
2016-06,54
2016-07,49
2016-08,49
2016-09,54
2016-10,58
2016-11,61
2016-12,55
2017-01,59
2017-02,67
2017-03,72
2017-04,67
2017-05,66
2017-06,66
2017-07,63
2017-08,65
2017-09,72
2017-10,76
2017-11,79
2017-12,70
2018-01,73
2018-02,79
2018-03,79
2018-04,79
2018-05,76
2018-06,77
2018-07,77
2018-08,79
2018-09,84
2018-10,88
2018-11,86
2018-12,74
2019-01,80
2019-02,88
2019-03,88
2019-04,90
2019-05,89
2019-06,91
2019-07,94
2019-08,91
2019-09,100
